1|131074.166053|6812347.24354|OUEST_LCH
2|133808.068073|6806176.77298|SUD_LCH
3|133909.467766|6818626.73827|NORD_LCH
4|125000.315585|6816618.87337|SUD_SMA
5|110070.17099|6831583.90491|OUEST_SMA
6|125000.315585|6846548.93644|NORD_SMA
7|110070.17099|6846548.93644|NORD_OUEST_SMA
8|135057.781255|6816698.5391|SUD_TLG
9|126696.900281|6825078.95676|OUEST_TLG
10|131751.264386|6832761.24989|NORD_TLG
11|127686.685201|6829005.41638|NORD_OUEST_TLG
12|146678.672436169|6832752.11320345|AV_GOULET
13|123981.311830965|6835065.29129743|LE_CONQUET
14|113458.758463105|6842930.91527846|LES_ILES
15|124723.769583938|6830825.85422333|LES_VIEUX_MOINES
16|117302.783136641|6851593.31651198|LE_FOUR
17|104407.722445858|6819830.34106984|IROISE
18|138547.66845266|6825904.00237289|CAMARET
19|140957.695658914|6832070.32721257|EXIT
20|134422.569286874|6825476.43410745|TOULINGUET
21|136230.627664|6825380.24989|PORZ_NAYE
22|135484.542357763|6824290.38239407|PEN_HAT
23|155407.971868817|6803443.29414152|DOUARNENEZ
24|144444.834006283|6818350.12839666|MORGAT
25|136135.244809519|6822408.48176302|PEN_HIR
26|139122.896918984|6811938.02847963|LA_CHEVRE
27|157798.061816177|6813087.66046131|PENTREZ
